"Светодиодные матрицы от Philips","Philips представила матрицы с повышенной светоотдачи",b4cacd0f7bd2f91b345fee24c2f46e6e.txt,,377,"Новые технологии",635473eb851c91fbdd60a91484999683.jpg,248,"2013-05-13 12:40:42","светодиодные матрицы|Luxeon CoB|chip-on-board"
"Энергосберегающие технологии в Харькове","Энергосберегающие технологии: на Харьковщине насчитали 26 микропроектов",6ec1a07076843fd503bfcbfa9a71d911.txt,,434,Энергосбережение,c1a8e7aa1e9f0ee203a2881caa24867c.jpg,249,"2013-05-16 16:59:29","Энергосберегающие технологии Харьков|возобновляемые источники энергии|ес/проон"
"Какую плитку выбрать","Знание маркировок поможет сделать правильный выбор плитки.",980e7f11b1ededc552f46f294b9741bf.txt,,580,"Советы мастеров;Отделочные материалы;Своими руками;Дизайн",e25806f540f596c7d77fe9e8dcef6864.jpg,250,"2013-05-20 13:28:11","Какую плитку выбрать|выбор плитки|маркировка плитки"
"Светодиодное освещение: тренировка на помидорах","Оригинальные результаты исследований светодиодного освещения",c78cdf2620f3563e671b446f1b6bb995.txt,,314,"Новые технологии",fb7d19696f0d20269890ba693d3f34c9.jpg,251,"2013-05-20 14:08:02","Светодиодное освещение|новейшие светодиоды"
"Современные технологии укладки плитки","Как приклеить плитку и какая технология укладки плитки на сегодняшний день самая популярная?",f34483a384cc3fa280814d1f57ad4fb6.txt,,731,"Советы мастеров;Своими руками;Отделочные материалы",e22e52e601372afad74a141d3a0704c9.jpg,252,"2013-05-24 14:04:31","технология укладки плитки|как приклеить плитку"
"Проблемы альтернативной энергетики Украины","Альтернативная энергетика в Украине: угольщики против",f8971ce9cb11d749a7eac2174e97c2e0.txt,,315,"Альтернативная энергетика",756838b527441b56599feeaa892ff492.jpg,253,"2013-05-24 14:29:54","альтернативная энергетика в украине|Минуглепром Украины"
"Новости альтернативной энергетики для небоскребов","«Волосатая электростанция»: проект шведских архитекторов",76b8baa695aaea5cab723726b5e7fcbd.txt,,325,"Альтернативная энергетика",1ca9d6e4b1892c77830459894431fcd6.jpg,254,"2013-05-27 14:44:59","новости альтернативной энергетики|системы альтернативной энергетики|Belatchew|альтернативная электростанция|Strawscraper"
"Цветные светодиоды Cree  XLamp XP-E2","Светодиоды Cree XLamp XP-E2: доступны и еще доступнее",ef6d677ca71918c92694d417de6654c7.txt,,321,"Новые технологии",95fecf4a0611b1e5f48129991215f7a8.jpg,255,"2013-05-31 12:18:45","цветные светодиоды|компания cree|XLamp XP-E2|светодиоды cree"
"Сверление дрелью в домашних условиях","Сверление дрелью, мощность дрели и использование дрели в домашнем хозяйстве",339bcb7748cb25557cbe46ebafb5fd35.txt,,925,"Электроинструмент;Советы мастеров;Своими руками",c3bac07b5d679698d6c6f1758803a8f8.jpeg,256,"2013-06-02 20:26:41","Сверление дрелью|мощность дрели"
"Продажа Харьковоблэнерго: новости","Харьковоблэнерго продадут: определены сроки",dc16fd1438d632c029b6f8be268f6f4d.txt,,605,"Новости Украины",298519ce1675390ea68ec83fd5db89d5.jpeg,257,"2013-06-03 12:14:24","Харьковоблэнерго|продажа Харьковоблэнерго|новости Харьковоблэнерго|Фонд госимущества Украины"
"Сверление дрелью в домашних условиях (часть 2)","Как правильно сверлить дрелью? Использование дрели в домашнем хозяйстве",cd13d3a952fb8a47cb43893298a2f5d0.txt,,547,"Советы мастеров;Своими руками;Электроинструмент",5b18246553c8bba203618c0cd666463e.jpeg,258,"2013-06-06 23:32:58","электродрель инструкция|правильно сверлить дрелью"
"Google и зеленая энергетика: что общего","Зеленая энергетика набирает обороты и привлекает хорошие деньги",535d9ae8c02391df28a8e5b38ebcfd1b.txt,,473,"Альтернативная энергетика",3e6811a0c581c19471257e9ebc990a2f.jpeg,259,"2013-06-07 11:51:18","Зеленая энергетика|возобновляемые источники энергии|ветровая электростанция"
"Альтернативная энергетика Украины снова получает деньги","Европейский банк реконструкции и развития готов увеличить фонд программы финансирования альтернативной энергетики в Украине до €140 млн. ",e468bbcf3773bbf87553fe6d20826689.txt,,2303,"Альтернативная энергетика",46b016246b525f5b43d3a7725ba9059d.jpeg,260,"2013-06-10 11:13:45","фонд чистых технологий|Альтернативная энергетика Украины|зеленая энергетика|Сергей Масличенко"
"Беспроводное освещение","Беспроводное освещение в Харьковской области по программе развития ООН: кто первый",c99db2c058c42405f2a7a3d90c5b54b9.txt,,366,"Новости Украины",cfd7c51fbeca5f98dbbd783ce0219862.jpeg,261,"2013-06-14 12:57:36","беспроводное освещение|ПРООН|уличное освещение|программа развития ООН"
"Производство светодиодов растет со скоростью света","Производство светодиодов в Украине: перспективы и планы",fb4c0c5dd35ecb359fd3312ea19e0a8e.txt,,343,"Новости Украины",48757e265700267d23a96a249a995f1e.jpeg,264,"2013-06-17 14:39:43","Александр Вилкул|производство светодиодов"
"Матовая и глянцевая керамическая плитка в дизайне","Особенности выбора керамической плитки: керамическая плитка матовая и глянцевая керамическая плитка? ",41715152910313e34390835764c98c5c.txt,,3210,"Отделочные материалы;Советы мастеров;Интересные идеи;Своими руками;Дизайн",a563a21e6d743d4c06ee4c27bf7af5d8.jpeg,265,"2013-06-18 13:59:54","глянцевая керамическая плитка|матовая керамическая плитка"
"Как используют энергосберегающие лампы в Москве?","Москвичи не хотят отказываться от ламп накаливания: опрос ВЦИОМ",d46feadebc236f305565be5a0364099f.txt,,270,Энергосбережение,723be1c94817c765f1ad9b3ef6dc8a9d.jpeg,266,"2013-06-20 10:57:21","ВЦИОМ|Всероссийский центр исследования общественного мнения|отказ от ламп накаливания|использование энергосберегающих ламп"
"Рынок стройматериалов в цифрах и %","Украинский рынок стройматериалов: что происходит",b6b21ad9e07ff5152eeda4518717ed1d.txt,,315,"Новости Украины",56e980c9ae7bf9043bafd73a4ca80765.jpeg,267,"2013-06-25 12:35:57","рынок стройматериалов|PAU|строительный рынок украины|производство стройматериалов"
"Новая газотурбинная электростанция в Украине","Харьковчане разработали уникальную газотурбинную электростанцию, которая использует низкокалорийный газ",04951c5821d36aa2a1c8a454fee1be0f.txt,,340,"Новости Украины",cfaa584e4efc107803e44ac0c6568f9c.jpeg,268,"2013-06-27 12:54:39","газотурбинная электростанция|низкокалорийный газ|алчевский меткомбинат|парогазовая турбина|Днепродзержинский металлургический комбинат|харьковский институт Энергопроект"
"Альтернативная энергетика в Украине: новые законы","Изменения к Закону об электроэнергетике: кого освободили от «местной составляющей»",be0209a816e3de4d5f21f00a2ba2bd55.txt,,526,"Альтернативная энергетика",b6329d6739bd420eb17d93311a0796cc.jpeg,269,"2013-07-01 12:33:37","Альтернативная энергетика в Украине"
"Способы укладки плитки: подготовительные работы перед укладкой плитки","Технология укладки матовой и глянцевой плитки",b25e85f00a1b6685d6a4c26b8cd1ec7b.txt,,621,"Советы мастеров;Отделочные материалы;Своими руками",f4f998f392729b1b0ce3857150bc3ebd.jpeg,270,"2013-07-03 15:06:31","Способы укладки плитки|перед укладкой плитки"
"Apple: новости компании","Новости Apple 2013: компания построит собственную электростанцию",5f8bbd3d0f6aab356901d5acc3b26933.txt,,750,"Новости мира",3e8618abaca4dc796969747c49980568.jpeg,271,"2013-07-08 11:05:16","новости apple 2013|apple новости компании|apple последние новости|apple свежие новости"
"Компания Osram: обвал акций и сокращения рабочих","Немецкая компания Osram вышла на фондовый рынок после отделения фирмы от компании Siemens. И в первый же день акции Osram упали на 3,8%.",58ee04403ff8b4cdeb19e9872e209dcc.txt,,416,"Новости мира",764d9962d9cdcf49ddd3a2818c0f162b.jpeg,272,"2013-07-11 13:41:51","компания osram|компания siemens"
"Производство светодиодов в России растет","В России предложили спасать экономику светодиодами",5dceaeab0e910f2bda40b96960030ca1.txt,,444,"Новости мира",7d0881ca9806c53d535879313c59955b.jpeg,273,"2013-07-15 13:53:41","производство светодиодов в украине|Производство светодиодов в России|Иннопром-2013|Александр Вилкул|Владимир Семиноженко"
"Укладка плитки своими руками","технология укладки керамической плитки на пол ",83da6f70f79e961765c1e546b236877c.txt,,518,"Советы мастеров;Своими руками;Отделочные материалы",0f95629ebba893afceb733bbdd7b607c.jpeg,274,"2013-07-16 07:58:58","укладка керамической плитки на пол|укладки плитки своими руками"
"Ветроэнергетика в Англии: введена в строй крупнейшая электростанция в мире","Одна из крупнейших электростанций в мире ветряных ферм London Array официально введена в эксплуатацию после четырех лет строительства.",576f46e16f6422308d22ff402abd11f5.txt,,373,"Альтернативная энергетика",6f46a39d09682fe77813c1b3b75590b2.jpeg,275,"2013-07-18 15:47:05","ветроэнергетика|крупнейшая электростанция|london array|ветряная ферма"
"Виды сварочных аппаратов","Как выбрать сварочный аппарат, для чего лучше купить сварочный трансформатор и сварочный выпрямитель (цена)?  Часть 1",4e0ea91d72f1ee10182936a38b5fb629.txt,,590,"Электроинструмент;Советы мастеров",71bc1a23b48d4c5c51919be4cfcc9ec7.jpeg,276,"2013-07-21 13:05:17","виды сварочных аппаратов|как выбрать сварочный аппарат|купить сварочный трансформатор|Сварочные выпрямители цена"
"Бесплатное электричество – легко","Юный изобретатель Роман Назарук предложил использовать энергию сквозняков.",e75b1d4c2192e38fb0d7032a2691383d.txt,,303,"Альтернативная энергетика",48d3461e3e699c4b5d58a5734c77e2cf.jpeg,277,"2013-07-22 11:42:37","Альтернативная энергетика Украина|Роман Назарук|энергия сквозняков|юный изобретатель|Малая академия наук украины"
"Коммунальные предприятия Харькова экономят миллионы","В Харькове собираются сэкономить три миллиона на уличном освещении и многотарифных электросчетчиках",b4ce7bf711f68a8fb253ce90cac04f87.txt,,502,"Энергосбережение;Новости Украины",2b46ca24bf054393341a120e36cd6d3e.png,278,"2013-07-25 12:35:49","уличное освещение харьков|виктор китанин|коммунальные предприятия Харькова|завод коммунар Харьков|многотарифные электросчетчики"
"Сенсорные датчики, интерактивные обои и новейшие светодиоды","Новейшие светодиоды в качестве интерактивных обоев: разработка американцев",2e5f32816019c50517f70647a591e44f.txt,,296,"Новости мира",833e41ebca221aac1a90b8a98ca8bb6c.jpeg,279,"2013-07-29 11:47:52","Сенсорные датчики|интерактивные обои|новейшие светодиоды|гибкие датчики|калифорнийский университет"
"Интернет магазин сварочных аппаратов: какой сварочный аппарат лучше ","Какой сварочный аппарат лучше в интернет магазине сварочных аппаратов? Давайте сравним  сварочные аппараты инверторного типа и сварочные полуавтоматы.",32d5b8cde99759fed6991b0d7ef43ee1.txt,,393,"Советы мастеров;Электроинструмент",dc201ed21631a6cbeaf4a73f02c4ebd5.jpeg,280,"2013-07-30 11:33:38","интернет магазин сварочных аппаратов|какой сварочный аппарат лучше"
"Солнечный бизнес: Китайские солнечные панели победили Европу","В Поднебесной смогли «уломать» Евросоюз по вопросу закупки китайских солнечных панелей. Солнечный бизнес Европы проиграл Китаю.",d6e94fc24dc555af8b3aba55be400347.txt,,236,"Новости мира",60272ba13c485c3ff621b7df0dde53e1.jpeg,281,"2013-08-01 12:47:58","солнечные панели купить|китай солнечные панели|prosun|Еврокомиссия|солнечный бизнес"
"Как выбрать лучший сварочный аппарат ","Приглашаем в каталог сварочных аппаратов строительного портала Руллетка: у нас большой выбор от известных производителей",eaff25ee4591d0158ee8c32139e3a3f7.txt,,557,"Электроинструмент;Советы мастеров;Своими руками",456aa1a4fc2afbc8ddebe29fcc3d9971.jpeg,283,"2013-08-06 15:21:00","лучший сварочный аппарат|сварочный аппарат инверторного типа|каталог сварочных аппаратов"
"Фонари уличного освещения в Крыму в любой момент могут отказать ","На восстановление находящейся в аварийном состоянии системы светильников уличного освещения Крыма потратят 377 млн грн.",4abc60d1b1b6440ed2365088ab5f6c6b.txt,,580,"Новости Украины",a94e174df6d622d44d61f5d32a9be749.jpeg,284,"2013-08-08 12:04:14","светильники уличного освещения|светодиодное уличное освещение|фонари уличного освещения|программа «Светлый Крым»"
"Социальные нормы потребления электроэнергии в России","«Энергопайки» в Росиии: определены социальные нормы потребления электроэнергии и вводится ограничение потребления электроэнергии",c1b5bd049b3e27275896a8f131ee850d.txt,,268,"Энергосбережение;Новости мира",c5533c0f8e16b733e6fd2af6015cdbb9.jpeg,285,"2013-08-12 13:10:58","социальные нормы потребления электроэнергии|ограничение потребления электроэнергии"
"Итальянские смесители для умывальника","На какие же параметры и характеристики следует обратить внимание при покупке итальянского смесителя для умывальника? ",02c4d67ca4232b3ba3e0ab9afa239f2b.txt,,553,"Советы мастеров;Сантехника",4e293e200ba326da74dea50c84b85489.png,286,"2013-08-14 00:17:14","Итальянские смесители|смесители для умывальника|итальянские смесители для умывальника"
"АК «Харьковоблэнерго» модернизирует линии электропередач","Масштабный проект харьковских энергетиков: что творится в Ольшанах",a6443fa95e3951268c0a3a0a568bfb64.txt,,285,"Новости Украины",5a287f5dd2b4e50c7817ea601c9b98bb.jpeg,287,"2013-08-15 14:08:09","Ольшаны Дергачевский район|АК «Харьковоблэнерго»|Сергей Кирик"
"Использование солнечной энергии в Белом Доме","«Барак Обамы» электрифицируют солнечными батареями и солнечными нагревателями",8148ee79cecd3f2c0b8dbcfa927c18a7.txt,,273,"Новости мира",57aa029e2715afc16dc518f6ab922261.jpeg,288,"2013-08-19 11:53:54","Солнечные батареи в США|новости альтернативной энергетики|проблемы экономии электроэнергии|использование солнечной энергии|солнечный нагреватель"
"Как выбрать перфоратор: основные характеристики перфоратора","Как выбрать перфоратор и какие характеристики перфоратора нужно учитывать? ",c12e09bf23c026d65a97f4b1882c4c11.txt,,605,"Советы мастеров;Электроинструмент",ee2b8607c0e77ead56f4d3e79ce98ef9.jpeg,289,"2013-08-20 13:47:50","как выбрать перфоратор|характеристики перфоратора"
"Энергосбережение в Харькове: реалии и перспективы","Как экспериментируют с электричеством в Харьковской области",c5fd9317e213a3b4549373ce59701e9b.txt,,282,"Энергосбережение;Новости Украины",bbc1eae7aa651fb019fb06786ccc6ccb.jpeg,290,"2013-08-22 15:48:30","энергосбережение харьков|Николай Мурыгин|Харьковский национальный университет имени Каразина|солнечные батареи Харьков|Турбоатом|Электротяжмаш|Харьковоблэнерго|Южная железная дорога|Харьковводоканал"
"Влияние света на настроение человека","Институт биологических исследований провел исследования на хомячках: влияние света и депрессия",874190a4f504e3928ad0201b51b77d77.txt,,356,"Новости мира;Дизайн",2180c2ad0a082cc4447c22e1bd163552.jpeg,291,"2013-08-27 12:54:18","институт биологических исследований|влияние освещения|влияние света"
"Как выбрать и где купить смеситель в ванную","В этом статье мы ответим на два вопроса: по каким критериям выбрать смеситель для ванной и где купить смеситель в ванную недорого. ",daf2d8393c438eb92e3c1046a21ed54c.txt,,580,"Сантехника;Советы мастеров",8d21d60e760e44eeb65e78c6a19ab0fe.jpeg,292,"2013-08-28 09:49:08","Как выбрать смеситель для ванной|купить смеситель в ванную|смеситель для ванны недорого"
"Немцы согласились поддержать возобновляемую энергетику","Федеральное министерство окружающей среды, охраны природы и безопасности реакторов Германии  поддерживает биоэнергетику Украины",65b6a78e85aa61de9a90115d2621a469.txt,,274,"Новости мира;Новости Украины;Альтернативная энергетика;Энергосбережение",78693ff860c404a5ad60eea8377b77ea.jpeg,293,"2013-08-29 12:59:41","Биоэнергетика в Украине|министерство окружающей среды|возобновляемая энергетика"
"Альтернативная энергетика в Украине выходит на новый уровень","Украина и Польша опять сошлись в совместном проекте: теперь это альтернативная энергетика",95ae4764576bf9cf108dfc110481a1b5.txt,,253,"Новости Украины;Новости мира;Новые технологии;Альтернативная энергетика",a30af8470cc3517f4002cc3cbe04f454.jpeg,294,"2013-09-02 12:31:27","Альтернативная энергетика в Украине|новости НТУУ «КПИ»|центр совершенствования технологий возобновляемых источников энергии|возобновляемые источники энергии|Михаил Згуровский"
"Какие аккумуляторы лучше: Ni-Cd или Li-ion","Мы решили сравнить характеристики аккумуляторов чтобы понять, какие аккумуляторы лучше использовать в для конкретных целей.",d4d969a822cd4adf05ae96053d320aa8.txt,,680,"Советы мастеров;Электроинструмент",ed59b324f671f4aaca1495b8369fcba1.png,295,"2013-09-04 21:02:46","Какие аккумуляторы лучше|характеристики аккумуляторов"
"Перепланировка квартир в Украине: изменения в жилищном кодексе","В ближайшее время войдут в силу изменения в жилищном кодексе, которые коснутся перепланировки квартир в Украине.",fc420830378c90e811a3d0c2e460578e.txt,,410,"Новости Украины",2ae399a6071d38e0d548f9b3dda17dde.jpeg,297,"2013-09-09 10:24:01","Перепланировка квартир в Украине|жилищный кодекс Украины|изменения в жилищном кодексе"
"Паяльник для пластиковых труб: как выбрать","К выбору паяльника для пропиленовых труб подход должен быть ответственным, ведь в первую очередь от инструмента зависит качество соединения и долговечность ",aa7c17129e695095d2c9afb8ca43233f.txt,,735,"Советы мастеров;Электроинструмент",097f38579a631f25320cbdabce11a285.jpeg,298,"2013-09-11 14:17:06","паяльник для пластиковых труб|паяльник для пропиленовых труб"
"Антивибрационная система","AVT (Anti Vibration Technology) – антивибрационная система, применяемая в электроинструменте. ",f85b6e81fd411caca5ea42965330af9c.txt,,505,"Советы мастеров;Электроинструмент;Новые технологии",a7ccad6421422a11a7b7692a96000686.jpeg,299,"2013-09-11 14:49:10","Антивибрационная система"
"Панды и производство биотоплива: что общего","Панд хотят поставить на службу альтернативной энергетике",d05e19e6887334aa639698518a768288.txt,,260,"Новости мира;Альтернативная энергетика",0387350e4236e8ebf0b47400f21ea754.jpeg,300,"2013-09-12 10:16:44","лигнином|производство биотоплива|альтернативная энергетика|биоэтанол"
"Ощадбанк Украины и модернизация уличного освещения","Крым станет светлее за счет денег Ощадбанка Украины: по программе «Светлый Крым» будет проведена модернизация уличного освещения",1b6ba768856f7f54fccce6d7d80f70de.txt,,264,"Новости Украины;Энергосбережение",8080c04d07d7429e569bf9791725923e.jpeg,301,"2013-09-16 11:18:24","Ощадбанк Украины|программа Светлый Крым|модернизация уличного освещения|фонарные столбы купить|садовый декор|точечные светильники|подвесные светильники"
"Светодиоды для велосипедов","Светодиоды на велосипедах повышают безопасность движения.",6a74cb03fbd7148081f29abdcecc1b2a.txt,,240,"Новости мира",a5cd6832463f136bbc794dd27667c588.jpeg,302,"2013-09-19 12:41:32","Светодиоды на велосипед|Светодиоды для велосипедов"
"Затирка цементная или силиконовый герметик: что выбрать","Мы подготовили обзор – что лучше и для каких целей: затирка цементная, затирка полимерная или силиконовый герметик",97049b64bd672cf0e9078486d16588f4.txt,,522,"Советы мастеров;Отделочные материалы;Своими руками",3886c3d7ef54b52d6ee03f553bc84107.jpeg,303,"2013-09-20 12:13:52","затирка цементная|затирка полимерная|Затирка Technokolla|затирка швов плитки|Эпоксидная затирка|силиконовый герметик|затирка швов купить|герметик купить"
"Крупнейшая приливная электростанция","Новости альтернативной энергетики: в Европе строится мощнейшая приливная электростанция",c9c48f0f8ff2efa9861ccf74b9eb4dea.txt,,263,"Новости мира;Альтернативная энергетика",fba5286bd7829ebd2843fec17fc2fdc0.jpeg,304,"2013-09-23 11:35:57","приливная электростанция|новости альтернативной энергетики|альтернативная энергетика|альтернативная энергетика 2013"
"Харьковские теплосети берут кредит на 100 000 000$","Новый проект харьковских коммунальщиков: теплопункты в каждом доме",05816d5e92b06eb31b01b5dbd3c04844.txt,,294,"Новости Украины;Энергосбережение",99bee6449effd02964e27ae70a559a8e.jpeg,305,"2013-09-26 13:44:02","КП «Харьковские тепловые сети»|харьковские теплосети|централизованные тепловые пункты|харьковские коммунальщики|модернизация тепловых сетей|теплопункты"
"Клей для напольного покрытия: как выбрать","Выбираем клей для паркета и напольного покрытия",8a91e09e17b973b67849f4a4edb4b451.txt,,526,"Советы мастеров;Своими руками",baae033e53300beae8a137c9a43c2351.jpeg,306,"2013-09-27 16:08:33","клей для паркета|клей для напольного покрытия"
"Биореактор и ветроэнергетика в проекте «Энергоэффективное село» ","В Харьковской области планируется построить энергоэффективное село: масштабный проект Корпуса мира. Подробнее читайте у нас в новостях альтернативной энерге",d7a6c5e0a013a7fd9b40d65448c92304.txt,,268,"Новости Украины;Альтернативная энергетика",f65aa65a86819fedc83c3ab5eb3cd7b0.png,307,"2013-09-30 11:50:20","Энергоэффективное село|Корпус мира|ветроэнергетика|биореактор|альтернативная энергетика в Украине"
"Производство пеллет: новости Харькова","Биотопливо из отходов древесины: новый проект производства пеллет в Харькове",cea792c872f911d69f3713a1860ec235.txt,,305,"Альтернативная энергетика;Новости Украины;Энергосбережение",512291dbd4f0f72902a038dd3f56b45f.jpeg,308,"2013-10-03 15:07:42","Производство пеллет|биотопливо|альтернативные источники энергии"
"Цементный клей: плюсы и минусы","Цементный клей – лучший клей для керамической плитки",3494ace793968d039f77dc1f80031701.txt,,403,"Советы мастеров;Своими руками;Отделочные материалы",288576f079197d0fc57ab23bcd6fbbd2.jpeg,309,"2013-10-04 13:05:23","Клей для керамической плитки|цементный клей"
"Харькову добавили линию освещения","В Харькове вдоль Белгородского шоссе протянули новую линию освещения",cc0798b1b307e3c1a1a9f0928d8268f1.txt,,233,"Новости Украины",ff6966448da87df0dc65cce8594dc8e5.jpeg,310,"2013-10-07 13:41:56","линия освещения|Виктор Китанин|новости харьков|Белгородское шоссе"
"Лучший триммер: как выбрать газонокосилку","Какой триммер выбрать и какой из выбранных триммеров лучший. ",761aad20a16f5963e61843a2c28e1c7f.txt,,350,Электроинструмент,09ce5c5349092544a7ac6a58473e1ceb.jpeg,312,"2013-10-11 11:06:37","Лучший триммер|как выбрать газонокосилку"
"Светодиодные уличные фонари в Харькове","На харьковских вокзалах появились удивительные светильники – фонари уличного освещения на светодиодах.",28f6b37d7e183997f38501b03b23491f.txt,,325,"Новости Украины",8345cc635ba61a8400c1d68a5742450f.jpeg,313,"2013-10-14 10:35:57","Светодиодные уличные фонари|фонари уличного освещения|Харьков балашовский|южный вокзал харьков|людмила сорока"
"Светодиодные системы освещения на 4,65 миллиона","В Харьковской области планируют установить светодиодные системы освещения на сумму 4,65 млн грн",af8962cb7b294e3c3df6c4816c6cdd77.txt,,200,"Новости Украины",e1473f00ec3a3e0a1a5edc77cc705e93.jpeg,314,"2013-10-17 11:06:30","Светодиодные системы освещения|Институт физики полупроводников|пенитенциарная служба Украины|новости Харьковской области|ООО «СУ-24»"
"Надежные замки для вашего дома","Качественные замки, с высокой степенью защиты,  всегда пользовались большим спросом у потребителей. ",bc6b462f113426b1da73ee21fb6d9f69.txt,,335,"Советы мастеров;Замки",084dd56b97f4658cc53e9f65c109b323.jpeg,315,"2013-10-18 10:36:47","Дверные замки врезные|Дверные замки накладные|Дверные замки навесные"
"Фонарный столб на солнечных батареях Spirit","Питание уличные фонари  Spirit получают от солнечных батарей, расположенных по всей площади их столбов.",af4c97ac4c10bc774f3c61d7ecc9936e.txt,,338,"Новости мира;Энергосбережение",43ce5395efe6000d9ced454a2076cf52.jpeg,316,"2013-10-21 11:54:20","Фонарные столбы|светодиодные фонари|уличные фонари|фонари Spirit|Kaal Masten"
"Электроэнергетика Украины: что нас ждет?","Украинский рынок электроэнергии в ожидании изменений",c917144e72fe3d35bd7d556cc941c668.txt,,241,"Новости Украины",840ea8402640de91afeefe2672844669.jpeg,317,"2013-10-24 13:43:01","Электроэнергетика Украины|защита прав потребителей|энергетическое сообщество|льготное электричество"
"Как купить врезной замок: правильные советы","Рекомендации специалистов для тех, кто хочет купить врезной замок. Сравнение и обзор: сувальдные врезные замки и цилиндрические замки.",bdbb387cbac85b40599961cf023b37da.txt,,330,"Замки;Советы мастеров",f208dc7777d87676c065965fd0dcebd6.jpeg,318,"2013-10-25 10:33:14","замки Эльбор|Купить врезные замки|сувальдные врезные замки|замки цилиндрические|замки сувальдного типа"
"LIQUOS: новые технологии 2013","Компания ФОКУС вывела на рынок новую технологию – Liquid Optical Systems.",4e85943dd9f677b8202c82d444655c26.txt,,263,"Энергосбережение;Новые технологии",6a6b6ca352fc28845295d62979655411.jpg,319,"2013-10-28 11:05:24","LIQUOS|Компания ФОКУС|световой поток светодиодов|новые технологии 2013|новости высоких технологий"
"Светодиодные светофоры в Харькове","В Харькове массово происходит замена светофоров на светодиодные",6f8c5a86631e9c465bc949467ff3b38a.txt,,244,"Новости Украины",391002313c8b56e080d3e922e0787f7e.jpeg,320,"2013-10-31 15:12:58","Светодиодные светофоры|КП «Харьков-Сигнал»|замена светофоров"
"Замки Эльбор: обзор и характеристики замков","Компания Эльбор вот уже 12 лет занимается разработкой и выпуском всевозможных типов дверных замков. ",467f4e00c4ac73162be3d7b8c34a4010.txt,,350,Замки,49169ae96d537a6bebc52802a12442de.jpg,321,"2013-10-31 21:15:03","замки Эльбор|врезные замки Эльбор|характеристики замков|накладные замки Эльбор"
"Конструкция замка: в чем различия секретной части","Чем проще и дешевле секрет замка, тем легче его открыть с помощью различных отмычек и приспособлений. ",6087c7cc56105fe4d3bfd7512b0a0940.txt,,346,Замки,d11a52587ca263fd94d3a7cd5dc57190.jpeg,322,"2013-11-02 21:49:55","конструкция замка|секрет замка|врезные дверные замки|накладные дверные замки"
"Cолнечный светодиодный фонарь от Panasonic","Фирма Panasonic представила LED-фонарь, работающий на солнечной энергии, который в то же время является зарядным устройством.",22b0c91f4aeb4761faae78cb0d28a336.txt,,284,"Новые технологии;Новости мира",b86830e461c171a3939ca63f5455d436.jpeg,323,"2013-11-04 09:22:36","солнечный фонарь|светодиодный фонарь|новости Panasonic|LED-фонарь|Фонарь BG-BL03"
"Система «Умный дом» будет иметь программную платформу","Новая проблема систем «Умный дом»: четверка компаний ABB, Bosch, Cisco и LG ищет общий язык ",4b3abc6059e10c8cad3ac7cd640eae09.txt,,301,"Новости мира;Новые технологии;Интересные идеи",6670f2e536ec8a39bfe227bb5a7c9415.jpeg,324,"2013-11-07 11:03:34","интеллектуальный дом|система умный дом|программная платформа"
"«Умный свет» SmartLight изменит архитектуру зданий","Как выяснилось, солнечный свет можно запасать и передавать когда нужно и куда нужно",83fe95da54b7d33d75bfa0431b4fc7fa.txt,,236,"Новости мира;Новые технологии",2dac1333051bbe94c1d7f294c195da46.jpeg,325,"2013-11-08 12:19:55","Умный свет|SmartLight|Светопроводы|новая технология освещения"
"Новые тарифы на электроэнергию в Украине","Новая система ценообразования в украинской энергетике и новые тарифы 2014: что нас ждет?",45a0b2515e11538488047f3eb2e77b42.txt,,184,"Новости Украины",70e896cef7713010e8320a6deb12eaef.jpeg,326,"2013-11-11 11:39:17","Новые тарифы на электроэнергию|облэнерго|украинская энергетика|Энергостратегия Украины"
"Евробаскет-2015 получит уникальный електрокабель в Харькове","В Харькове разработали схему электропитания «Харьков Арены», которую сейчас вовсю строят к Евробескету-2015.",274f95fe126ff2b5cd5ea1c2ca5192d8.txt,,207,"Новости Украины",321c1318e385cab134b45b78369ff985.jpeg,327,"2013-11-14 11:06:45","Евробаскет-2015|Харьков Арена|электрокабель в Харькове|АО «Харьковоблэнерго»|Сергей Кирик"
"«Харьковоблэнерго» vs «Харьковводоканал»: ситуация критичная","Ситуация с неплатежами КП «Харьководоканал» энергетикам становится критичной",55600bdf7bf4a0492d23d60212a80bc5.txt,,283,"Новости Украины",f2d5d162872a24bcd8a760df03c97b28.jpeg,329,"2013-11-19 11:41:48","Харьковоблэнерго|Харьковводоканал|Харьковский водотрест|Сергей Кирик"
"Пластиковые окна в Украине дорожают","Украина может остаться без пластиковых окон: цены растут",095dc31362aa79d23f17a241c0642645.txt,,327,"Новости Украины",1cf9c288d949fd4a862e50ebd2e3a53b.jpeg,330,"2013-11-21 10:16:19","оконный профиль|пластиковые окна в Украине|ПВХ-профиль|цена оконного профиля|налоговый тариф Украины"
"Обзор: дрели-шуруповерты Bosch и Makita","Какой выбрать шуруповерт: «Bosch» или «Makita»?",0ef9c058ff20f0c463d8d7af3c57fd00.txt,,562,"Советы мастеров;Электроинструмент",d77d9467710c46987aeca291228febe3.jpeg,331,"2013-11-22 12:18:43","дрель шуруповерт bosch|дрель шуруповерт makita"
